Test Cases,Software Requirements
Verify that media playback controls are themed correctly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that user session management is secure.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that unique constraints are enforced on columns,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
"Check window minimize, maximize, and close functionality",Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that all resources load via HTTPS,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the site's notifications are properly formatted for different user feedback and reviews.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that the API supports gzip compression for responses,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check form validation for required fields,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that media playback controls work with low bandwidth,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that session timeout is implemented,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that server uptime is monitored,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the site's notifications are properly formatted for different screen sizes and resolutions.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that database availability management procedures are followed,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that tracking code is present on all pages,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
All error messages should be displayed in the same CSS style,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
"Emails should be checked in different email clients such as Outlook, Gmail, Hotmail, and Yahoo! Mail","User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that error logs are maintained,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API supports batch requests if applicable,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Standard conventions should be followed throughout for naming resource keys,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that title tags are unique and descriptive,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that live streaming works correctly,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that database initialization parameters are set correctly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
"For result grids showing reports, verify the total for every column in the 'Totals' row","API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that the site's email notifications are properly formatted and delivered.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that sensitive fields like passwords and credit card information do not have autocomplete enabled.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that the API handles dynamic data transformations,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that the API respects the Accept header for content negotiation,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that the site uses appropriate security measures for third-party integrations.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that database load testing is conducted regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that PWA manifest file is valid,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the site's notifications are properly formatted for different user requests and queries.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that users cannot access restricted areas,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that media playback controls are consistent,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
The user should be able to filter results using all parameters on the page,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that the site's notifications provide relevant and actionable information.,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that hreflang tags are used for multilingual sites,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check page sorting functionality after add/edit/delete operations on any record,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that backup and recovery procedures are documented and tested,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Table columns should have description information available, except for audit columns like created date and created by","API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that media controls are accessible,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that A/B testing is implemented,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the site's web push notifications are properly delivered and displayed.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that database alert logs are reviewed regularly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that file upload error messages are displayed correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that constraints are validated periodically,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that media playback controls are distinguishable,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Users should not be able to type in drop-down select lists,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
"If a child window is opened, the user should not be able to use or update any field in the background or parent window",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
The email template should use standard CSS for all emails,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that HTTP Strict Transport Security (HSTS) is implemented,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API supports querying data with complex filtering criteria,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that database vulnerability assessments are conducted regularly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that database data disposal measures are enforced,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that HTTP security headers are set correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API handles data transformations correctly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that the API supports data governance and compliance,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that histograms are created on skewed columns,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check the export functionality when pagination is enabled.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that data files are configured with appropriate sizes,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check for correct language translation on all pages,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the API responses do not contain any sensitive information,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Test the API with different locales and ensure correct handling of localized data,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the site's notifications are properly formatted for different user segments and groups.,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that live chat transcripts are sent to users,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that database portability testing is conducted regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the API supports custom logging mechanisms,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that database configuration logs are reviewed regularly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that database data protection measures are enforced,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Test the API for proper handling of empty responses,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Data should be rolled back in case of failed transactions,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that the site's progress indicators are accurate and informative.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check the functionality of sending a high volume of emails without issues.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the site's notifications are properly formatted for different user referrals and recommendations.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that Virtual Private Database (VPD) is used for fine-grained access control,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that camera permissions are handled correctly,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that the API supports webhook notifications if applicable,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Application crashes or unavailable pages should be redirected to an error page,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check password strength indicator if available,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that alerts are sent to the correct recipients,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that CDN is used for static assets,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the site's notifications are properly formatted for different user feedback and ratings.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that stored procedures return the correct results,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that database problem management procedures are followed,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that the API supports data indexing and retrieval,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the API supports multi-language responses,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
"Test the functionality of sending emails to single, multiple, or distribution list recipients.","User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the API handles system health monitoring,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check result grid data to ensure the date range is enabled,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify the presence of the navigation bar with links to main sections.,Check result grid data to ensure the date range is enabled Verify the presence of the navigation bar with links to main sections. Check that each link in the navigation bar redirects to the correct section. Ensure the search bar is visible. Verify the search bar is functional.
Check that each link in the navigation bar redirects to the correct section.,Validate search results are accurate and relevant to the query. Verify promotional banners are displayed correctly. Ensure clicking on promotions redirects to the appropriate product page. Check featured products are displayed on the homepage. Verify correct images are displayed for featured products.
Ensure the search bar is visible.,"Ensure correct prices are displayed for featured products. Verify correct descriptions are displayed for featured products. Validate ""Add to Cart"" button functionality for each product. Ensure the footer contains links to Delivery, Returns & Refunds, FAQ. Check the footer contains links to Privacy Policy, Cookies Policy, T&Cs."
Verify the search bar is functional.,"Verify the footer contains links to About Us and Contact Us pages. Ensure each link in the footer redirects to the correct page. Validate the functionality of the newsletter signup form. Ensure a success message is shown after signing up for the newsletter. Verify the correct display of products on category pages (e.g., Black Abaya)."
Validate search results are accurate and relevant to the query.,"Check that filters (color, size, price) on category pages work correctly. Ensure product details (name, price, description, images) are accurate on product detail pages. Verify the ""Add to Cart"" button functionality on product detail pages. Validate the image gallery functionality (zoom, swipe, view different angles) on product detail pages. Check that users can view and edit their account details."
Verify promotional banners are displayed correctly.,"Verify the functionality of the login form. Ensure the signup form is functional. Verify adding products to the cart updates the cart icon and page correctly. Validate the checkout process, including entering shipping information. Ensure selecting payment methods works correctly."
Ensure clicking on promotions redirects to the appropriate product page.,Verify the order confirmation process. Check that the Delivery page loads and displays relevant information. Ensure the Returns & Refunds page loads and displays relevant information. Verify the FAQ page loads and displays relevant information. Ensure the Privacy Policy page loads and displays relevant information.
Check featured products are displayed on the homepage.,Check the Cookies Policy page loads and displays relevant information. Verify the T&Cs page loads and displays relevant information. Ensure the About Us page loads and displays relevant information. Check the Contact Us page loads and displays relevant information. Verify the website is responsive on mobile devices.
Verify correct images are displayed for featured products.,"Ensure the website is responsive on tablets. Validate the website's responsiveness on desktop devices. Check that images are displayed correctly on mobile devices. Verify that product descriptions are displayed correctly on mobile devices. Ensure that the ""Add to Cart"" button is functional on mobile devices."
Ensure correct prices are displayed for featured products.,Validate the search functionality on mobile devices. Verify the functionality of the navigation bar on mobile devices. Ensure the footer links are functional on mobile devices. Check that the promotional banners are displayed correctly on mobile devices. Verify that the category pages display correctly on mobile devices.
Verify correct descriptions are displayed for featured products.,Ensure that product detail pages display correctly on mobile devices. Validate the newsletter signup form on mobile devices. Check the login form functionality on mobile devices. Ensure the signup form is functional on mobile devices. Verify the checkout process on mobile devices.
"Validate ""Add to Cart"" button functionality for each product.","Check the performance of the website on mobile devices. Ensure images are displayed correctly on tablets. Verify product descriptions are displayed correctly on tablets. Check that the ""Add to Cart"" button is functional on tablets. Validate the search functionality on tablets."
"Ensure the footer contains links to Delivery, Returns & Refunds, FAQ.",Verify the functionality of the navigation bar on tablets. Ensure the footer links are functional on tablets. Check that promotional banners are displayed correctly on tablets. Verify that the category pages display correctly on tablets. Ensure that product detail pages display correctly on tablets.
"Check the footer contains links to Privacy Policy, Cookies Policy, T&Cs.",Validate the newsletter signup form on tablets. Check the login form functionality on tablets. Ensure the signup form is functional on tablets. Verify the checkout process on tablets. Check the performance of the website on tablets.
Verify the footer contains links to About Us and Contact Us pages.,"Ensure images are displayed correctly on desktops. Verify product descriptions are displayed correctly on desktops. Check that the ""Add to Cart"" button is functional on desktops. Validate the search functionality on desktops. Verify the functionality of the navigation bar on desktops."
Ensure each link in the footer redirects to the correct page.,Ensure the footer links are functional on desktops. Check that promotional banners are displayed correctly on desktops. Verify that the category pages display correctly on desktops. Ensure that product detail pages display correctly on desktops. Validate the newsletter signup form on desktops.
Validate the functionality of the newsletter signup form.,Check the login form functionality on desktops. Ensure the signup form is functional on desktops. Verify the checkout process on desktops. Check the performance of the website on desktops. Validate the accessibility of the website.
Ensure a success message is shown after signing up for the newsletter.,Ensure images have alt text for screen readers. Verify that keyboard navigation works throughout the website. Ensure that all interactive elements are accessible via keyboard. Validate that form labels are correctly associated with form fields. Check that the website meets WCAG accessibility standards.
"Verify the correct display of products on category pages (e.g., Black Abaya).",Verify that color contrast meets accessibility standards. Ensure that the website loads quickly on different devices. Check that there are no broken links on the website. Validate that external links open in new tabs. Ensure that the website does not have any console errors.
"Check that filters (color, size, price) on category pages work correctly.",Verify that the website functions correctly in different browsers. Check that the website maintains functionality with JavaScript disabled. Ensure that the website maintains functionality with cookies disabled. Verify that the website functions correctly after clearing the cache. Check that the website maintains functionality with slow internet speeds.
"Ensure product details (name, price, description, images) are accurate on product detail pages.","Ensure that the website handles high traffic without performance issues. Verify that the search functionality returns relevant results for a given query. Ensure that filters (e.g., price range, brand, rating) are working correctly on the search results page. Check that sorting options (e.g., price low to high, newest arrivals) work correctly. Ensure that the product detail page displays the correct product information."
"Verify the ""Add to Cart"" button functionality on product detail pages.",Verify that product images can be zoomed in and are displayed clearly. Check that customer reviews and ratings are displayed correctly on the product detail page. Verify that the Add to Cart button functions correctly. Ensure that the cart page updates correctly when items are added or removed. Check that the cart displays the correct total price for all items.
"Validate the image gallery functionality (zoom, swipe, view different angles) on product detail pages.","Verify that the checkout process works smoothly from start to finish. Ensure that different payment methods (e.g., credit card, gift card) are accepted. Check that users can apply discount codes at checkout. Verify that shipping options and costs are displayed correctly at checkout. Ensure that users receive order confirmation emails after placing an order."
Check that users can view and edit their account details.,Check that users can track their orders through their account. Verify that users can cancel orders from their account. Ensure that users can return items and request refunds. Check that the sign-up process for new users works correctly. Verify that existing users can log in and log out without issues.
Verify the functionality of the login form.,Ensure that users can update their account information. Check that the wishlist functionality works correctly. Verify that users can share wishlist items with others. Ensure that the site’s navigation menu links to the correct categories. Check that promotional banners and advertisements link to the correct pages.
Ensure the signup form is functional.,"Verify that the homepage displays featured products and deals correctly. Ensure that the site is responsive and works correctly on mobile devices. Check that the site’s search bar is accessible and functional on all pages. Verify that the site’s footer links (e.g., About Us, Contact Us) work correctly. Ensure that the site’s help and customer service pages provide accurate information."
Verify adding products to the cart updates the cart icon and page correctly.,Check that the FAQ section addresses common user questions and issues. Verify that the site’s privacy policy and terms of service are easily accessible. Ensure that users can subscribe to the site’s newsletter. Check that users can navigate to their order history from their account. Verify that product recommendations are relevant to the user’s browsing history.
"Validate the checkout process, including entering shipping information.",Ensure that the site’s search results include relevant sponsored products. Check that users can compare products side by side. Verify that users can access product Q&A sections on the product detail page. Ensure that the site’s live chat support is functional. Check that users can leave feedback about their shopping experience.
Ensure selecting payment methods works correctly.,"Verify that the site’s gift card purchase process works correctly. Ensure that users can redeem gift cards at checkout. Check that the site’s notifications (e.g., back-in-stock alerts) are functional. Verify that users can filter search results by customer review ratings. Ensure that the site’s product categories are organized logically."
Verify the order confirmation process.,Check that the site’s sales and clearance sections display discounted items correctly. Verify that users can see recently viewed items. Ensure that the site’s “Today’s Deals” section updates daily. Check that users can sort search results by best sellers. Verify that the site’s loyalty program (if applicable) displays points correctly.
Check that the Delivery page loads and displays relevant information.,Ensure that the site’s product videos play correctly. Check that the site’s augmented reality feature (if applicable) works correctly. Verify that the site’s gift registry functionality is working. Ensure that users can sign up for back-in-stock notifications. Check that the site’s recommendations for similar items are accurate.
Ensure the Returns & Refunds page loads and displays relevant information.,Verify that the site’s blog or news section is updated regularly. Ensure that the site’s seasonal promotions are displayed correctly. Check that users can navigate to their saved addresses from their account. Verify that the site’s currency converter (if applicable) works correctly. Ensure that the site’s language selection feature is functional.
Verify the FAQ page loads and displays relevant information.,Check that the site’s “Frequently Bought Together” suggestions are relevant. Verify that users can rate and review purchased products. Ensure that the site’s return policy is clearly stated on the product detail page. Check that the site’s size guide (if applicable) is accessible and accurate. Verify that the site’s store locator (if applicable) is functional.
Ensure the Privacy Policy page loads and displays relevant information.,Ensure that the site’s “Customers Who Viewed This Item Also Viewed” section is relevant. Check that users can update their payment methods from their account. Verify that the site’s invoice download feature (if applicable) is working. Ensure that the site’s flash sale feature (if applicable) displays the correct countdown timer. Check that users can navigate to their subscriptions from their account.
Check the Cookies Policy page loads and displays relevant information.,Verify that the site’s subscription cancellation process is working. Ensure that the site’s related search suggestions are relevant. Check that users can filter search results by new arrivals. Verify that the site’s advanced search feature is functional. Ensure that the site’s product availability is updated in real-time.
Verify the T&Cs page loads and displays relevant information.,Check that the site’s “Compare with similar items” section is accurate. Verify that users can view product details without leaving the search results page. Ensure that the site’s price match guarantee (if applicable) is clearly stated. Check that users can add items to their cart from the product quick view. Verify that the site’s customer service chat bot (if applicable) is functional.
Ensure the About Us page loads and displays relevant information.,Ensure that the site’s order confirmation page displays the correct order details. Check that users can view estimated delivery dates on the product detail page. Verify that the site’s backorder functionality is working. Ensure that the site’s customer service contact information is easily accessible. Check that the site’s loyalty rewards redemption process is functional.
Check the Contact Us page loads and displays relevant information.,Verify that the site’s preorder functionality is working. Ensure that users can view detailed product specifications on the product detail page. Check that the site’s product comparison tool is accurate. Verify that the site’s product personalization options (if applicable) are functional. Ensure that the site’s “Buy Again” feature is working.
Verify the website is responsive on mobile devices.,Check that users can update their shipping addresses from their account. Verify that the site’s promotional emails include accurate information. Ensure that the site’s user profile page displays correct user information. Check that the site’s product images are of high quality. Verify that the site’s live sales counter (if applicable) is functional.
Ensure the website is responsive on tablets.,"Ensure that the site’s waitlist functionality (if applicable) is working. Check that the site’s user-generated content (e.g., photos, reviews) is displayed correctly. Verify that the site’s return shipping labels (if applicable) are generated correctly. Ensure that the site’s digital downloads (if applicable) are delivered correctly. Check that the site’s out-of-stock notifications are sent promptly."
Validate the website's responsiveness on desktop devices.,Verify that the site’s product bundles (if applicable) are displayed correctly. Ensure that the site’s recommended products are personalized for each user. Check that the site’s product availability filter is functional. Verify that the site’s product warranty information is accessible. Ensure that the site’s international shipping options are displayed correctly.
Check that images are displayed correctly on mobile devices.,Check that users can view their gift card balance from their account. Verify that the site’s price alert notifications (if applicable) are sent correctly. Ensure that the site’s product assembly instructions (if applicable) are accessible. Check that the site’s back-in-stock notifications are sent promptly. Verify that users can update their email preferences from their account.
Verify that product descriptions are displayed correctly on mobile devices.,Ensure that the site’s product launch notifications (if applicable) are sent correctly. Check that the site’s user reviews are verified for authenticity. Verify that the site’s price drop notifications (if applicable) are sent correctly. Ensure that the site’s product availability notifications (if applicable) are sent promptly. Check that the site’s video reviews are displayed correctly on the product detail page.
"Ensure that the ""Add to Cart"" button is functional on mobile devices.",Verify that the site’s product recommendations are based on user behavior. Ensure that the site’s user-generated content is moderated for appropriateness. Check that the site’s product availability is updated in real-time. Verify that the site’s wish list notifications (if applicable) are sent correctly. Ensure that the site’s product descriptions are detailed and accurate.
Validate the search functionality on mobile devices.,"Check that the site’s product comparison charts (if applicable) are accurate. Verify that the site’s product filters (e.g., size, color) are functional. Ensure that the site’s gift wrap options (if applicable) are displayed correctly. Check that the site’s estimated delivery dates are accurate. Verify that the site’s shipping cost calculator (if applicable) is functional."
Verify the functionality of the navigation bar on mobile devices.,Ensure that the site’s discount code application process is functional. Check that the site’s order history is displayed correctly in user accounts. Verify that the site’s user-generated product tags (if applicable) are functional. Ensure that the site’s email receipts include accurate information. Check that the site’s product return instructions (if applicable) are accessible.
Ensure the footer links are functional on mobile devices.,Verify that the site’s product exchange process is working. Ensure that the site’s user feedback form is functional. Check that the site’s user profile updates are saved correctly. Verify that the site’s customer service phone support is accessible. Ensure that the site’s live chat support responds promptly.
,Check that the site’s FAQs are updated and accurate. Verify that users can download invoices for their purchases. Ensure that users can access their saved payment methods. Check that the site’s subscription service (if applicable) functions correctly. Verify that the site’s subscription management options are accessible.
Check that the promotional banners are displayed correctly on mobile devices.,Ensure that the site’s promotional banners are clickable. Check that the site’s social media links redirect to the correct pages. Verify that users can sign in using their social media accounts. Ensure that the site’s push notifications are functional. Check that the site’s feedback form submits correctly.
,Verify that the site’s product filters reset correctly. Ensure that the site’s product categories are clearly labeled. Check that the site’s promotional codes apply the correct discounts. Verify that users can access their order tracking information. Ensure that the site’s help section covers all common issues.
Verify that the category pages display correctly on mobile devices.,Check that the site’s product specifications are detailed. Verify that users can delete their account. Ensure that the site’s email subscription preferences are updated correctly. Check that the site’s terms and conditions are accessible. Verify that the site’s privacy policy is up-to-date.
,Ensure that users can manage their addresses. Check that the site’s payment gateway is secure. Verify that the site’s homepage loads quickly. Ensure that the site’s search results are relevant. Check that users can filter search results by brand.
Ensure that product detail pages display correctly on mobile devices.,Verify that users can add multiple items to their cart. Ensure that the site’s checkout process is secure. Check that the site’s homepage banners update regularly. Verify that the site’s product ratings are accurate. Ensure that users can contact customer service easily.
,Check that the site’s blog is updated regularly. Verify that users can sign up for product alerts. Ensure that the site’s newsletter subscription is functional. Check that the site’s special offers are displayed correctly. Verify that users can edit their reviews.
Validate the newsletter signup form on mobile devices.,Ensure that the site’s product images are clear. Check that the site’s search autocomplete is functional. Verify that users can save items for later. Ensure that the site’s live chat is available 24/7. Check that the site’s order history is accurate.
,Verify that the site’s product categories are easy to navigate. Ensure that the site’s discounts are applied correctly. Check that the site’s product recommendations are relevant. Verify that users can filter search results by price. Ensure that the site’s account creation is simple.
Check the login form functionality on mobile devices.,Check that the site’s wishlist feature is functional. Verify that users can update their password. Ensure that the site’s checkout summary is accurate. Check that the site’s product availability is updated. Verify that users can leave product feedback.
,Ensure that the site’s mobile app is functional. Check that the site’s notifications are timely. Verify that users can manage their orders. Ensure that the site’s search bar is easy to find. Check that the site’s customer reviews are helpful.
Ensure the signup form is functional on mobile devices.,Verify that users can view product details. Ensure that the site’s search filters are useful. Check that the site’s customer support is responsive. Verify that the site’s order confirmation is sent. Ensure that the site’s promotions are current.
,Check that users can navigate the site easily. Verify that the site’s return process is easy. Ensure that the site’s product descriptions are accurate. Check that the site’s payment options are varied. Verify that users can find what they need quickly.
Verify the checkout process on mobile devices.,Ensure that the site’s design is user-friendly. Check that the site’s promotions are visible. Verify that users can sign up easily. Ensure that the site’s cart is easy to use. Check that the site’s help center is comprehensive.
,Verify that the site’s checkout is quick.
Check the performance of the website on mobile devices.,"Check the performance of the website on mobile devices. Ensure images are displayed correctly on tablets. Verify product descriptions are displayed correctly on tablets. Check that the ""Add to Cart"" button is functional on tablets. Validate the search functionality on tablets."
